Unique Key,Created Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Status,Borough,Latitude,Longitude
37380428,10/9/17 0:14,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11217,Assigned,BROOKLYN,40.68672159,-73.98426818
37382430,10/9/17 0:14,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,Closed,BROOKLYN,40.60210307,-73.9879469
37381269,10/9/17 0:14,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10459,Assigned,BRONX,40.8286292,-73.89383035
37383144,10/9/17 0:15,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11417,Open,QUEENS,40.67363962,-73.85020386
37382395,10/9/17 0:15,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,Assigned,QUEENS,40.70113384,-73.89763991
37382493,10/9/17 0:15,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10033,Assigned,MANHATTAN,40.84895293,-73.9328746
37378770,10/9/17 0:16,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10014,Open,MANHATTAN,40.73094609,-74.00673637
37380724,10/9/17 0:16,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11218,Assigned,BROOKLYN,40.64197423,-73.99156464
37382423,10/9/17 0:16,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,Assigned,BRONX,40.85018459,-73.89213685
37381113,10/9/17 0:16,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,Assigned,BRONX,40.85716578,-73.89364743
37383263,10/9/17 0:17,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10010,Assigned,MANHATTAN,40.7408628,-73.99191298
37382027,10/9/17 0:17,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11229,Assigned,BROOKLYN,40.59425148,-73.95822781
37380714,10/9/17 0:17,NYPD,NYPD,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,,Unassigned,Unspecified,,
37380795,10/9/17 0:18,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,Open,MANHATTAN,,
37380953,10/9/17 0:18,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11102,Assigned,QUEENS,40.77397975,-73.93104746
37381059,10/9/17 0:18,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11218,Assigned,BROOKLYN,40.64594493,-73.98260936
37382498,10/9/17 0:19,DFTA,HealthCare Connections,Housing Options,Other Housing Options,Address Unknown,,Open,Unspecified,,
37380492,10/9/17 0:19,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11218,Assigned,BROOKLYN,40.63683207,-73.981502
37380936,10/9/17 0:20,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11103,Assigned,QUEENS,40.76290442,-73.91802011
37379856,10/9/17 0:20,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10302,Open,STATEN ISLAND,40.6402245,-74.13666664
37382964,10/9/17 0:20,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11373,Closed,QUEENS,40.74629691,-73.88130133
37379208,10/9/17 0:20,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11238,Closed,BROOKLYN,40.67788885,-73.96094426
37382537,10/9/17 0:21,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10034,Assigned,MANHATTAN,40.86225027,-73.92291562
